"","scenario","p_change_t128","p_change_t64","q_tide128","q_tide64","profit_tide128","profit_tide64","base_profit_t128","base_profit_t64","profit_change"
"1","Base",0,0,247067.97309417,282954.269058296,716504.870822438,444677.447052081,716504.870822438,444677.447052081,5.82076609134674e-11
"2","a",0.05,0.05,222203.886664086,275008.092900901,715014.983990577,477559.795210135,716504.870822438,444677.447052081,31392.4613261924
"3","b",-0.05,-0.05,276213.284289879,291555.807982317,713246.172486711,410095.033180473,716504.870822438,444677.447052081,-37841.1122073354
"4","c",0.05,-0.05,217589.512197702,319127.336100939,700166.69787488,448876.448021395,716504.870822438,444677.447052081,-12139.171978245
"5","d",-0.05,0.05,282070.880611642,251248.318953277,728371.832236243,436300.235678717,716504.870822438,444677.447052081,3489.75004044111
